Old-Name,New-Name,Status
admin_banners,admin_banners_governance,RENAMED
admin_cash,admin_cash_governance,RENAMED
admin_categories,admin_categories_governance,RENAMED
admin_chat,admin_chat_governance,RENAMED
admin_commission,admin_commission_governance,RENAMED
admin_core,admin_core_management,RENAMED
admin_email,admin_email_governance,RENAMED
admin_fallback,admin_fallback_management,RENAMED
admin_logistics,admin_logistics_governance,RENAMED
admin_orders,admin_orders_governance,RENAMED
admin_payouts,admin_payouts_governance,RENAMED
admin_products,admin_products_governance,RENAMED
admin_promotions,admin_promotions_governance,RENAMED
admin_settings,admin_settings_governance,RENAMED
admin_suppliers,admin_suppliers_governance,RENAMED
admin_treasury,admin_treasury_governance,RENAMED
admin_users,admin_users_governance,RENAMED
admin_video,admin_video_governance,RENAMED
coupons,customer_coupons,RENAMED
customer_health,customer_health,UNCHANGED
reviews,customer_reviews,RENAMED
wishlist,customer_wishlist,RENAMED
logistics_health,logistics_health,UNCHANGED
logistics_locations,logistics_locations,UNCHANGED
logistics_orders,logistics_orders,UNCHANGED
logistics_orders_v2,logistics_orders_v2,UNCHANGED
logistics_partner,logistics_partner,UNCHANGED
accounting,public_accounting_access,RENAMED
addresses,public_addresses_access,RENAMED
ai,public_ai_access,RENAMED
ai_image,public_ai_image_access,RENAMED
ai_research,public_ai_research_access,RENAMED
ai_upload,public_ai_upload_access,RENAMED
audit,public_audit_access,RENAMED
auth,public_auth_access,RENAMED
automation,public_automation_access,RENAMED
badge_billing,public_badge_billing_access,RENAMED
banners,public_banners_access,RENAMED
batch_upload,public_batch_upload_access,RENAMED
cart,public_cart_access,RENAMED
cash_management,public_cash_management_access,RENAMED
categories,public_categories_access,RENAMED
chat,public_chat_access,RENAMED
chat_api,public_chat_api_access,RENAMED
chat_enrichment,public_chat_enrichment_access,RENAMED
chatbot,public_chatbot_access,RENAMED
comm,public_comm_access,RENAMED
command_center_api,public_command_center_api_management,RENAMED
command_center,public_command_center_management,RENAMED
commission,public_commission_access,RENAMED
comms_unified,public_comms_unified_access,RENAMED
compliance,public_compliance_access,RENAMED
contact,public_contact_management,RENAMED
countries,public_countries_access,RENAMED
country_admin,public_country_admin_access,RENAMED
country_auto_populate,public_country_auto_populate_access,RENAMED
country_dropdown,public_country_dropdown_access,RENAMED
country_maps,public_country_maps_access,RENAMED
country_payouts,public_country_payouts_access,RENAMED
country_research,public_country_research_access,RENAMED
country_staff,public_country_staff_access,RENAMED
country_versioning,public_country_versioning_access,RENAMED
cross_border,public_cross_border_access,RENAMED
csp_reporting,public_csp_reporting_access,RENAMED
currency,public_currency_access,RENAMED
ediscovery,public_ediscovery_management,RENAMED
effective_permissions,public_effective_permissions_access,RENAMED
email,public_email_access,RENAMED
email_controller,public_email_controller_access,RENAMED
email_enrichment,public_email_enrichment_access,RENAMED
employees,public_employees_access,RENAMED
entity_chat,public_entity_chat_access,RENAMED
entity_communication,public_entity_communication_access,RENAMED
escalation,public_escalation_management,RENAMED
ess,public_ess_management,RENAMED
expenses,public_expenses_management,RENAMED
export,public_export_access,RENAMED
finance,public_finance_access,RENAMED
finance_automation,public_finance_automation_access,RENAMED
finance_erp,public_finance_erp_access,RENAMED
flash_sales,public_flash_sales_management,RENAMED
fraud_detection,public_fraud_detection_access,RENAMED
frontend_errors,public_frontend_errors_management,RENAMED
geo,public_geo_access,RENAMED
health,public_health_management,RENAMED
hierarchy,public_hierarchy_management,RENAMED
