### 2.1 True Duplicates (IDENTICAL) � 14 found

Same function name + same AST body hash. These are true byte-level duplicates.

| # | File A | Function A | File B | Function B | Action |
|---|--------|-----------|--------|-----------|--------|
| 1 | `services\admin\admin_logistics_operations_service.py` | `limit_bulk_size` | `services\core\admin_service.py` | `limit_bulk_size` | Keep ONE, delete the other |
| 2 | `services\comms\websocket_manager.py` | `connect_user` | `services\public\public_comms_status_service.py` | `connect_user` | Keep ONE, delete the other |
| 3 | `services\comms\websocket_manager.py` | `connect_staff` | `services\public\public_comms_status_service.py` | `connect_staff` | Keep ONE, delete the other |
| 4 | `services\comms\websocket_manager.py` | `disconnect_user` | `services\public\public_comms_status_service.py` | `disconnect_user` | Keep ONE, delete the other |
| 5 | `services\comms\websocket_manager.py` | `disconnect_staff` | `services\public\public_comms_status_service.py` | `disconnect_staff` | Keep ONE, delete the other |
| 6 | `services\comms\websocket_manager.py` | `broadcast_to_all_staff` | `services\public\public_comms_status_service.py` | `broadcast_to_all_staff` | Keep ONE, delete the other |
| 7 | `services\geography\cross_border_service.py` | `get_session_country` | `services\geography\cross_border_tracker.py` | `get_session_country` | Keep ONE, delete the other |
| 8 | `services\geography\cross_border_service.py` | `clear_session` | `services\geography\cross_border_tracker.py` | `clear_session` | Keep ONE, delete the other |
| 9 | `controllers\admin\admin_identity_operations_api_controller.py` | `list_users` | `controllers\core\users_controller.py` | `list_users` | Keep ONE, delete the other |
| 10 | `controllers\admin\admin_identity_operations_api_controller.py` | `list_users` | `controllers\public\public_identity_operations_controller.py` | `list_users` | Keep ONE, delete the other |
| 11 | `controllers\core\users_controller.py` | `list_users` | `controllers\public\public_identity_operations_controller.py` | `list_users` | Keep ONE, delete the other |
| 12 | `controllers\core\logistics_partner_controller.py` | `scan_lookup_shipment` | `controllers\logistics\logistics_partner_verify_controller.py` | `scan_lookup_shipment` | Keep ONE, delete the other |
| 13 | `controllers\core\logistics_partner_controller.py` | `update_shipment_status` | `controllers\logistics\logistics_partner_verify_controller.py` | `update_shipment_status` | Keep ONE, delete the other |
| 14 | `controllers\core\permissions_controller.py` | `create_permission` | `controllers\public\public_permissions_validation_controller.py` | `create_permission` | Keep ONE, delete the other |



